r,l,rm
1.0,316,../experiments/water/reward_machines/t8.txt
0.0,8,../experiments/water/reward_machines/t9.txt
1.0,53,../experiments/water/reward_machines/t10.txt
1.0,86,../experiments/water/reward_machines/t1.txt
1.0,193,../experiments/water/reward_machines/t2.txt
1.0,134,../experiments/water/reward_machines/t3.txt
1.0,197,../experiments/water/reward_machines/t4.txt
1.0,140,../experiments/water/reward_machines/t5.txt
1.0,127,../experiments/water/reward_machines/t6.txt
1.0,290,../experiments/water/reward_machines/t7.txt
1.0,328,../experiments/water/reward_machines/t8.txt
0.0,115,../experiments/water/reward_machines/t9.txt
0.0,113,../experiments/water/reward_machines/t10.txt
1.0,82,../experiments/water/reward_machines/t1.txt
1.0,182,../experiments/water/reward_machines/t2.txt
1.0,51,../experiments/water/reward_machines/t3.txt
1.0,228,../experiments/water/reward_machines/t4.txt
1.0,103,../experiments/water/reward_machines/t5.txt
1.0,89,../experiments/water/reward_machines/t6.txt
1.0,111,../experiments/water/reward_machines/t7.txt
1.0,297,../experiments/water/reward_machines/t8.txt
0.0,68,../experiments/water/reward_machines/t9.txt
0.0,7,../experiments/water/reward_machines/t10.txt
1.0,165,../experiments/water/reward_machines/t1.txt
1.0,77,../experiments/water/reward_machines/t2.txt
1.0,71,../experiments/water/reward_machines/t3.txt
1.0,285,../experiments/water/reward_machines/t4.txt
1.0,526,../experiments/water/reward_machines/t5.txt
1.0,96,../experiments/water/reward_machines/t6.txt
1.0,326,../experiments/water/reward_machines/t7.txt
1.0,256,../experiments/water/reward_machines/t8.txt
0.0,50,../experiments/water/reward_machines/t9.txt
0.0,33,../experiments/water/reward_machines/t10.txt
1.0,141,../experiments/water/reward_machines/t1.txt
1.0,94,../experiments/water/reward_machines/t2.txt
1.0,64,../experiments/water/reward_machines/t3.txt
1.0,128,../experiments/water/reward_machines/t4.txt
1.0,235,../experiments/water/reward_machines/t5.txt
1.0,273,../experiments/water/reward_machines/t6.txt
1.0,233,../experiments/water/reward_machines/t7.txt
1.0,189,../experiments/water/reward_machines/t8.txt
0.0,29,../experiments/water/reward_machines/t9.txt
0.0,43,../experiments/water/reward_machines/t10.txt
1.0,125,../experiments/water/reward_machines/t1.txt
1.0,53,../experiments/water/reward_machines/t2.txt
1.0,62,../experiments/water/reward_machines/t3.txt
1.0,239,../experiments/water/reward_machines/t4.txt
1.0,236,../experiments/water/reward_machines/t5.txt
1.0,245,../experiments/water/reward_machines/t6.txt
1.0,418,../experiments/water/reward_machines/t7.txt
1.0,177,../experiments/water/reward_machines/t8.txt
0.0,100,../experiments/water/reward_machines/t9.txt
0.0,54,../experiments/water/reward_machines/t10.txt
